//hotelName;address;price;rating;AC;freeParking;freeWifi;complementaryBreakfast;review;

Hotel Abkhazia Sokhumi; Sukhumi; Rs 5926; 4.31; AC included; Free parking; Free wifi; No breakfast; Not yet reviewed;
Hotel Ritsa; Sukhumi; Rs 6476; 4.71; AC included; Free parking; Free wifi; No breakfast; Not yet reviewed;
Medea Hotel; Sukhumi; Rs 6503; 4.73; Non AC; No parking; Free wifi; No breakfast; Not yet reviewed;
Farhat Hotel; Mazar-e-Sharif; Rs 5582; 4.06; AC included; Free parking; Free wifi; No breakfast; Not yet reviewed;
Hotel Inter-Continental Kabul; Kabul; Rs 6118; 4.45; AC included; Free parking; No wifi; No breakfast; Not yet reviewed;
Kabul Serena Hotel; Kabul; Rs 5321; 3.87; AC included; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Mazar Hotel; Mazar-e-Sharif; Rs 4551; 3.31; Non AC; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Safi Landmark Hotel; Kabul; Rs 5376; 3.91; AC included; Free parking; Free wifi; No breakfast; Not yet reviewed;
Adriatik Hotel; Durrës; Rs 4950; 3.6; AC included; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Tirana International Hotel; Tirana; Rs 6393; 4.65; Non AC; Free parking; No wifi; No breakfast; Not yet reviewed;
El-Djazair; Algiers; Rs 4125; 3.0; Non AC; No parking; No wifi; No breakfast; Not yet reviewed;
Hilton Alger; Algiers; Rs 6833; 4.97; Non AC; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Hotel Cirta; Annaba; Rs 6627; 4.82; Non AC; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Royal Hotel; Oran; Rs 6737; 4.9; Non AC; Free parking; No wifi; No breakfast; Not yet reviewed;
Sheraton Oran Hotel and Towers; Oran; Rs 4950; 3.6; Non AC; Free parking; No wifi; No breakfast; Not yet reviewed;
Rainmaker Hotel; Pago Pago; Rs 4537; 3.3; Non AC; Free parking; No wifi; No breakfast; Not yet reviewed;
Tradewinds Hotel; Fagatogo; Rs 5142; 3.74; Non AC; No parking; Free wifi; No breakfast; Not yet reviewed;
Hotel Presidente Luanda; Luanda; Rs 6050; 4.4; Non AC; No parking; No wifi; No breakfast; Not yet reviewed;
Cap Juluca Hotel; Cap Juluca; Rs 5280; 3.84; Non AC; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Carimar Beach Club; Mead's Bay; Rs 4400; 3.2; Non AC; Free parking; No wifi; No breakfast; Not yet reviewed;
CuisinArt Resort and Spa; Rendezvous Beach; Rs 4276; 3.11; AC included; Free parking; Free wifi; No breakfast; Not yet reviewed;
Lashings; Runaway Bay; Rs 6462; 4.7; AC included; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Alvear Palace Hotel; Buenos Aires; Rs 5885; 4.28; AC included; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Hilton Buenos Aires; Buenos Aires; Rs 4193; 3.05; Non AC; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Marriott Plaza Hotel; Buenos Aires; Rs 4991; 3.63; AC included; No parking; No wifi; No breakfast; Not yet reviewed;
Sofitel Buenos Aires; Buenos Aires; Rs 4647; 3.38; Non AC; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Grand Hotel Yerevan; Yerevan; Rs 4922; 3.58; AC included; Free parking; No wifi; No breakfast; Not yet reviewed;
Armenia Marriott Hotel; Yerevan; Rs 5541; 4.03; Non AC; No parking; Free wifi; No breakfast; Not yet reviewed;
Ani Plaza Hotel; Yerevan; Rs 3753; 2.73; AC included; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Tsaghkadzor General Sports Complex; Tsaghkadzor; Rs 3973; 2.89; AC included; No parking; Free wifi; No breakfast; Not yet reviewed;
Zepyur Summer Complex; Pyunik; Rs 5266; 3.83; Non AC; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Golden Palace Hotel; Tsaghkadzor; Rs 5596; 4.07; AC included; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Radisson Blu Hotel; Yerevan; Rs 6228; 4.53; AC included; No parking; Free wifi; No breakfast; Not yet reviewed;
Radisson Aruba Resort; Casino & Spa; Rs 5967; 4.34; Non AC; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Australia Hotel; Sydney; Rs 6696; 4.87; Non AC; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Buchanan's Hotel; Townsville; Rs 6682; 4.86; AC included; Free parking; No wifi; No breakfast; Not yet reviewed;
Dick's Hotel; Sydney; Rs 6792; 4.94; AC included; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Grace Hotel; Sydney; Rs 6324; 4.6; Non AC; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Harbour Rocks Hotel; Sydney; Rs 5197; 3.78; AC included; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Holiday Inn; Townsville; Rs 6187; 4.5; AC included; Free parking; Free wifi; No breakfast; Not yet reviewed;
Hotel Canberra; Canberra; Rs 5252; 3.82; AC included; No parking; No wifi; No breakfast; Not yet reviewed;
Hotel Grand Chancellor; Hobart; Rs 4812; 3.5; AC included; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Hotel Grand Chancellor; Launceston; Rs 6435; 4.68; Non AC; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Hotel Windsor; Melbourne; Rs 5706; 4.15; AC included; No parking; Free wifi; No breakfast; Not yet reviewed;
Hydro Majestic Hotel; Blackheath; Rs 4702; 3.42; Non AC; No parking; Free wifi; No breakfast; Not yet reviewed;
The Langham; Melbourne; Rs 6820; 4.96; Non AC; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Manor Apartment Hotel; Brisbane; Rs 4716; 3.43; Non AC; No parking; Free wifi; No breakfast; Not yet reviewed;
Old Canberra Inn; Canberra; Rs 5802; 4.22; AC included; Free parking; Free wifi; No breakfast; Not yet reviewed;
The Old Woolstore Apartment Hotel; Hobart; Rs 6861; 4.99; Non AC; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Palace Hotel; Perth; Rs 5500; 4.0; Non AC; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Palazzo Versace Australia; Gold Coast; Rs 5156; 3.75; AC included; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Raffles Hotel; Perth; Rs 6682; 4.86; Non AC; Free parking; No wifi; No breakfast; Not yet reviewed;
The Reef Hotel Casino; Cairns; Rs 3712; 2.7; Non AC; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Regatta Hotel; Brisbane; Rs 4620; 3.36; Non AC; No parking; Free wifi; No breakfast; Not yet reviewed;
Sebel Townhouse Hotel; Sydney; Rs 5665; 4.12; Non AC; No parking; No wifi; No breakfast; Not yet reviewed;
Shamrock Hotel; Bendigo; Rs 5610; 4.08; AC included; No parking; No wifi; No breakfast; Not yet reviewed;
The Star; Sydney; Rs 6586; 4.79; AC included; No parking; No wifi; No breakfast; Not yet reviewed;
The Star Gold Coast; Gold Coast; Rs 4785; 3.48; Non AC; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Victoria Hotel; Darwin; Rs 6297; 4.58; AC included; No parking; No wifi; Complementary breakfast; Not yet reviewed;
White Bay Hotel; Sydney; Rs 4895; 3.56; AC included; Free parking; No wifi; No breakfast; Not yet reviewed;
Wrest Point Hotel Casino; Hobart; Rs 5816; 4.23; AC included; No parking; No wifi; No breakfast; Not yet reviewed;
Grand Hotel; Vienna; Rs 4427; 3.22; AC included; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Hotel Imperial; Vienna; Rs 4565; 3.32; AC included; No parking; Free wifi; No breakfast; Not yet reviewed;
Hotel Metropole; Vienna; Rs 5472; 3.98; Non AC; No parking; No wifi; No breakfast; Not yet reviewed;
Hotel Sacher; Vienna; Rs 5197; 3.78; Non AC; No parking; No wifi; No breakfast; Not yet reviewed;
Hotel Sacher Salzburg; Salzburg; Rs 3891; 2.83; AC included; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Schloss Velden; Velden am Wörthersee; Rs 6490; 4.72; Non AC; Free parking; Free wifi; No breakfast; Not yet reviewed;
Schloss Wilhelminenberg; Vienna; Rs 3877; 2.82; Non AC; No parking; No wifi; No breakfast; Not yet reviewed;
